derived_sample_id	arabiensis_prob_mean	coluzzii_prob_mean	fontenillei_prob_mean	gambiae_prob_mean	gcx1_prob_mean	gcx2_prob_mean	gcx3_prob_mean	gcx4_prob_mean	melas_prob_mean	merus_prob_mean	quadriannulatus_prob_mean	max_mean_prob_taxon	max_mean_taxon_prob_diff	max_mean_taxon_prob_qual	arabiensis_votes	coluzzii_votes	fontenillei_votes	gambiae_votes	gcx1_votes	gcx2_votes	gcx3_votes	gcx4_votes	melas_votes	merus_votes	quadriannulatus_votes	max_votes_taxon	max_votes_taxon_ratio_diff
VBS83156-7466STDY14206595	0.9984549356223176	0.00025751072961373387	0.0	0.001072961373390558	0.0	8.583690987124464e-05	0.0	4.291845493562232e-05	0.0	8.583690987124464e-05	0.0	arabiensis	0.997381974248927	29.687443400741593	233	0	0	0	0	0	0	0	0	0	0	arabiensis	0.9999999999995709
VBS83157-7466STDY14206596	0.9976394849785407	0.0006008583690987125	0.0	0.0016309012875536481	0.0	8.583690987124464e-05	0.0	4.291845493562232e-05	0.0	0.0	0.0	arabiensis	0.9960085836909871	27.865459273167197	233	0	0	0	0	0	0	0	0	0	0	arabiensis	0.9999999999995709
VBS83158-7466STDY14206597	0.9972532188841202	0.000944206008583691	0.0	0.0015450643776824034	4.291845493562232e-05	0.00017167381974248928	0.0	4.291845493562232e-05	0.0	0.0	0.0	arabiensis	0.9957081545064378	28.098588389719495	233	0	0	0	0	0	0	0	0	0	0	arabiensis	0.9999999999995709
VBS83159-7466STDY14206598	0.997725321888412	0.0005579399141630902	0.0	0.0015450643776824034	4.291845493562232e-05	8.583690987124464e-05	0.0	0.0	4.291845493562232e-05	0.0	0.0	arabiensis	0.9961802575107296	28.1006438678038	233	0	0	0	0	0	0	0	0	0	0	arabiensis	0.9999999999995709
VBS83160-7466STDY14206599	0.9975107296137339	0.0007296137339055795	0.0	0.0012875536480686696	0.00017167381974248928	0.0002145922746781116	0.0	0.0	4.291845493562232e-05	4.291845493562232e-05	0.0	arabiensis	0.9962231759656652	28.89152208444117	233	0	0	0	0	0	0	0	0	0	0	arabiensis	0.9999999999995709
VBS83161-7466STDY14206600	0.9978969957081545	0.0004721030042918455	0.0	0.0013304721030042918	8.583690987124464e-05	0.00012875536480686693	0.0	0.0	0.0	8.583690987124464e-05	0.0	arabiensis	0.9965665236051502	28.75079909723949	233	0	0	0	0	0	0	0	0	0	0	arabiensis	0.9999999999995709
VBS83162-7466STDY14206601	0.9981115879828326	0.0006437768240343348	4.291845493562232e-05	0.0009012875536480687	4.291845493562232e-05	0.0002145922746781116	4.291845493562232e-05	0.0	0.0	0.0	0.0	arabiensis	0.9972103004291846	30.443156758859597	233	0	0	0	0	0	0	0	0	0	0	arabiensis	0.9999999999995709
VBS83163-7466STDY14206602	0.9982403433476394	0.0004721030042918455	0.0	0.0009871244635193132	0.00012875536480686696	0.00012875536480686693	4.291845493562232e-05	0.0	0.0	0.0	0.0	arabiensis	0.9972532188841201	30.04863158719166	233	0	0	0	0	0	0	0	0	0	0	arabiensis	0.9999999999995709
VBS83164-7466STDY14206603	0.9985836909871244	0.00034334763948497857	0.0	0.0008583690987124464	4.291845493562232e-05	8.583690987124464e-05	0.0	4.291845493562232e-05	0.0	4.291845493562232e-05	0.0	arabiensis	0.997725321888412	30.65710343627116	233	0	0	0	0	0	0	0	0	0	0	arabiensis	0.9999999999995709
VBS83165-7466STDY14206604	0.998755364806867	0.0002145922746781116	0.0	0.0008583690987124464	0.0	8.583690987124464e-05	4.291845493562232e-05	4.291845493562232e-05	0.0	0.0	0.0	arabiensis	0.9978969957081546	30.657849999480458	233	0	0	0	0	0	0	0	0	0	0	arabiensis	0.9999999999995709
VBS83166-7466STDY14206605	0.996480686695279	0.001072961373390558	4.291845493562232e-05	0.0015450643776824034	0.0002145922746781116	0.00038626609442060086	0.00017167381974248928	0.0	0.0	8.583690987124464e-05	0.0	arabiensis	0.9949356223175966	28.095222780271566	233	0	0	0	0	0	0	0	0	0	0	arabiensis	0.9999999999995709
VBS83167-7466STDY14206606	0.9966523605150215	0.0013304721030042918	0.0	0.0018025751072961375	0.0	0.00017167381974248928	0.0	0.0	0.0	4.291845493562232e-05	0.0	arabiensis	0.9948497854077254	27.4265030627646	233	0	0	0	0	0	0	0	0	0	0	arabiensis	0.9999999999995709
VBS83168-7466STDY14206607	0.9978111587982833	0.0005150214592274677	4.291845493562232e-05	0.0013733905579399143	4.291845493562232e-05	0.00017167381974248928	0.0	0.0	4.291845493562232e-05	0.0	0.0	arabiensis	0.9964377682403434	28.61254267593253	233	0	0	0	0	0	0	0	0	0	0	arabiensis	0.9999999999995709
VBS83169-7466STDY14206608	0.9985836909871244	0.00030042918454935627	4.291845493562232e-05	0.0010300429184549355	4.291845493562232e-05	0.0	0.0	0.0	0.0	0.0	0.0	arabiensis	0.9975536480686694	29.865291060120416	233	0	0	0	0	0	0	0	0	0	0	arabiensis	0.9999999999995709
VBS83170-7466STDY14206609	0.9979828326180258	0.0005150214592274677	0.0	0.0013304721030042918	0.0	4.291845493562232e-05	4.291845493562232e-05	0.0	0.0	4.291845493562232e-05	4.291845493562232e-05	arabiensis	0.9966523605150215	28.75117265175706	233	0	0	0	0	0	0	0	0	0	0	arabiensis	0.9999999999995709
VBS83171-7466STDY14206610	0.9978540772532188	0.0004721030042918455	4.291845493562232e-05	0.0014163090128755365	4.291845493562232e-05	4.291845493562232e-05	8.583690987124464e-05	0.0	4.291845493562232e-05	0.0	0.0	arabiensis	0.9964377682403434	28.479089867277867	233	0	0	0	0	0	0	0	0	0	0	arabiensis	0.9999999999995709
VBS83172-7466STDY14206611	0.9974678111587982	0.0006437768240343348	4.291845493562232e-05	0.0014163090128755365	0.0	0.0002145922746781116	0.0	4.291845493562232e-05	8.583690987124464e-05	4.291845493562232e-05	4.291845493562232e-05	arabiensis	0.9960515021459228	28.477408401882172	233	0	0	0	0	0	0	0	0	0	0	arabiensis	0.9999999999995709
VBS83173-7466STDY14206612	0.9977682403433475	0.0004721030042918455	8.583690987124464e-05	0.0015021459227467812	0.0	0.00012875536480686693	0.0	0.0	0.0	4.291845493562232e-05	0.0	arabiensis	0.9962660944206008	28.223175237355942	233	0	0	0	0	0	0	0	0	0	0	arabiensis	0.9999999999995709
VBS83174-7466STDY14206613	0.9977682403433475	0.0004291845493562232	0.00012875536480686693	0.0016309012875536481	0.0	4.291845493562232e-05	0.0	0.0	0.0	0.0	0.0	arabiensis	0.9961373390557939	27.866019737515543	233	0	0	0	0	0	0	0	0	0	0	arabiensis	0.9999999999995709
VBS83175-7466STDY14206614	0.9984120171673819	0.00038626609442060086	0.0	0.0010300429184549357	0.0	8.583690987124464e-05	4.291845493562232e-05	0.0	0.0	4.291845493562232e-05	0.0	arabiensis	0.9973819742489269	29.864544368552945	233	0	0	0	0	0	0	0	0	0	0	arabiensis	0.9999999999995709
VBS83176-7466STDY14206615	0.9984978540772532	0.0004721030042918455	0.0	0.0008583690987124464	4.291845493562232e-05	4.291845493562232e-05	0.0	0.0	4.291845493562232e-05	4.291845493562232e-05	0.0	arabiensis	0.9976394849785408	30.656730106534955	233	0	0	0	0	0	0	0	0	0	0	arabiensis	0.9999999999995709
VBS83177-7466STDY14206616	0.9973390557939914	0.00038626609442060086	0.0	0.002145922746781116	4.291845493562232e-05	8.583690987124464e-05	0.0	0.0	0.0	0.0	0.0	arabiensis	0.9951931330472102	26.672287228391305	233	0	0	0	0	0	0	0	0	0	0	arabiensis	0.9999999999995709
VBS83178-7466STDY14206617	0.9975107296137339	0.0007296137339055795	8.583690987124464e-05	0.0012446351931330471	4.291845493562232e-05	0.00025751072961373387	8.583690987124464e-05	4.291845493562232e-05	0.0	0.0	0.0	arabiensis	0.9962660944206009	29.03875464101713	233	0	0	0	0	0	0	0	0	0	0	arabiensis	0.9999999999995709
VBS83179-7466STDY14206618	0.9988412017167382	0.00030042918454935627	0.0	0.0008154506437768241	4.291845493562232e-05	0.0	0.0	0.0	0.0	0.0	0.0	arabiensis	0.9980257510729613	30.880987153447002	233	0	0	0	0	0	0	0	0	0	0	arabiensis	0.9999999999995709
VBS83180-7466STDY14206619	0.9965236051502145	0.0011158798283261804	8.583690987124464e-05	0.001888412017167382	8.583690987124464e-05	0.00012875536480686693	0.0	8.583690987124464e-05	0.0	0.0	8.583690987124464e-05	arabiensis	0.9946351931330472	27.223908120932663	233	0	0	0	0	0	0	0	0	0	0	arabiensis	0.9999999999995709
VBS83181-7466STDY14206620	0.9980257510729613	0.0006866952789699571	4.291845493562232e-05	0.000944206008583691	0.0	0.00017167381974248928	0.0	0.0	0.0	8.583690987124464e-05	4.291845493562232e-05	arabiensis	0.9970815450643776	30.240749413552102	233	0	0	0	0	0	0	0	0	0	0	arabiensis	0.9999999999995709
VBS83182-7466STDY14206621	0.9980686695278971	0.0004291845493562232	8.583690987124464e-05	0.0011158798283261804	8.583690987124464e-05	0.00012875536480686693	4.291845493562232e-05	0.0	0.0	0.0	4.291845493562232e-05	arabiensis	0.9969527896995709	29.515429570007658	233	0	0	0	0	0	0	0	0	0	0	arabiensis	0.9999999999995709
VBS83183-7466STDY14206622	0.9976394849785407	0.0007296137339055795	8.583690987124464e-05	0.001201716738197425	0.0	4.291845493562232e-05	4.291845493562232e-05	4.291845493562232e-05	8.583690987124464e-05	8.583690987124464e-05	4.291845493562232e-05	arabiensis	0.9964377682403432	29.191714830809154	233	0	0	0	0	0	0	0	0	0	0	arabiensis	0.9999999999995709
VBS83184-7466STDY14206623	0.9978111587982833	0.0006008583690987125	0.0	0.0014163090128755365	8.583690987124464e-05	0.0	0.0	0.0	4.291845493562232e-05	4.291845493562232e-05	0.0	arabiensis	0.9963948497854078	28.47890306993516	233	0	0	0	0	0	0	0	0	0	0	arabiensis	0.9999999999995709
VBS83185-7466STDY14206624	0.9980257510729613	0.00034334763948497857	0.0	0.0012446351931330471	4.291845493562232e-05	8.583690987124464e-05	0.00012875536480686693	4.291845493562232e-05	4.291845493562232e-05	0.0	4.291845493562232e-05	arabiensis	0.9967811158798283	29.04099635380878	233	0	0	0	0	0	0	0	0	0	0	arabiensis	0.9999999999995709
