variant_position,feature_importance
147339,0.09714362
194813,0.07471451
145953,0.059691764
119239,0.04447275
191369,0.039130494
197152,0.038801245
133498,0.03786211
120265,0.033192985
148189,0.03231216
133946,0.030401608
116838,0.029335685
199319,0.02840989
190299,0.027712785
170795,0.022882905
160183,0.022698626
101836,0.018308382
188992,0.018008687
160429,0.01684051
197734,0.015299254
103584,0.012654831
199402,0.012642002
136677,0.012596386
148257,0.012489302
100425,0.0119064925
188959,0.009981487
191866,0.00992203
103061,0.009743009
100399,0.009578008
147226,0.009528743
128155,0.009427289
101784,0.009349084
100156,0.009100703
100951,0.009100703
121995,0.008831586
170503,0.008419862
188274,0.008036818
172469,0.008002171
148253,0.007777214
197602,0.0073053534
133910,0.0072559426
128689,0.0060346685
100765,0.0057655764
190365,0.0054470534
133794,0.0050547784
117328,0.0048480234
197168,0.004358284
168022,0.004190824
102272,0.004158477
197113,0.004154086
167021,0.0039838413
153613,0.0037940296
116840,0.0037722678
197161,0.0035367426
121195,0.0034407512
116845,0.0031432179
190086,0.0031178766
136889,0.0029934694
103863,0.0028244772
113096,0.0028054514
101245,0.0027473022
194235,0.0024686067
147698,0.0023679025
133812,0.0023160663
180268,0.0022241294
197164,0.0021878236
113388,0.0021395513
183059,0.0020648178
190389,0.002005548
190371,0.0019581583
195305,0.0016097149
197160,0.0014214697
101403,0.0012891213
114422,0.001003127
106637,0.0008711996
172778,0.00071542786
113056,0.0006041517
172641,0.00047442556
144854,0.00036730943
109477,0.0003028227
144577,0.00020308683
121358,0.00018852005
137400,0.00017339988
137788,3.4932962e-06
136760,0.0
136799,0.0
136717,0.0
136719,0.0
136804,0.0
136720,0.0
136721,0.0
136722,0.0
136723,0.0
136724,0.0
136801,0.0
136800,0.0
136725,0.0
136794,0.0
136798,0.0
136726,0.0
136727,0.0
136797,0.0
136796,0.0
136795,0.0
136728,0.0
136729,0.0
136730,0.0
136731,0.0
136732,0.0
136805,0.0
136806,0.0
136716,0.0
136816,0.0
136823,0.0
136822,0.0
136708,0.0
136709,0.0
136710,0.0
136711,0.0
136821,0.0
136820,0.0
136819,0.0
136818,0.0
136817,0.0
136712,0.0
136807,0.0
136713,0.0
136815,0.0
136814,0.0
136813,0.0
136812,0.0
136811,0.0
136714,0.0
136810,0.0
136809,0.0
136715,0.0
136808,0.0
136733,0.0
136793,0.0
136758,0.0
136791,0.0
136773,0.0
136772,0.0
136747,0.0
136748,0.0
136771,0.0
136770,0.0
136749,0.0
136750,0.0
136769,0.0
136751,0.0
136825,0.0
136768,0.0
136767,0.0
136766,0.0
